PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.242358,0.0386,0.00539924,0.00590206,0.0211889,480,0.24338,0.33164,,61.4234,1.30149,56.1905
1,0.329622,0.0386,0.00516445,0.00590206,0.0202675,480,0.24338,0.33164,,64.2158,1.30149,56.1905
2,0.481492,0.0386,0.0207498,0.00590206,0.081431,480,0.24338,0.33164,,15.9828,1.30149,56.1905
3,0.535121,0.0386,0.0173779,0.00590206,0.0681981,480,0.24338,0.33164,,19.084,1.30149,56.1905
4,0.402955,0.0386,0.00707475,0.00590206,0.0277643,480,0.24338,0.33164,,46.8765,1.30149,56.1905
5,0.46999,0.0386,0.0618128,0.00590206,0.242579,480,0.24338,0.33164,,5.36523,1.30149,56.1905
6,0.225426,0.0386,0.0597964,0.00590206,0.234666,480,0.24338,0.33164,,5.54615,1.30149,56.1905
7,0.0688596,0.0386,0.0433004,0.00590206,0.169929,480,0.24338,0.33164,,7.65905,1.30149,56.1905
8,0.323484,0.0386,0.0205534,0.00590206,0.08066,480,0.24338,0.33164,,16.1355,1.30149,56.1905
9,0.449214,0.0386,0.0766534,0.00590206,0.30082,480,0.24338,0.33164,,4.32649,1.30149,56.1905
10,0.128221,0.0386,0.0222099,0.00590206,0.0871608,480,0.24338,0.33164,,14.9321,1.30149,56.1905
11,0.15449,0.0386,0.056733,0.00590206,0.222644,480,0.24338,0.33164,,5.84562,1.30149,56.1905
12,0.251173,0.0386,0.0544614,0.00590206,0.213729,480,0.24338,0.33164,,6.08945,1.30149,56.1905
13,0.427604,0.0386,0.00549415,0.00590206,0.0215613,480,0.24338,0.33164,,60.3624,1.30149,56.1905
14,0.247339,0.0386,0.026395,0.00590206,0.103585,480,0.24338,0.33164,,12.5645,1.30149,56.1905
15,0.265955,0.0386,0.0132828,0.00590206,0.0521272,480,0.24338,0.33164,,24.9677,1.30149,56.1905
16,0.128486,0.0386,0.0120092,0.00590206,0.0471293,480,0.24338,0.33164,,27.6154,1.30149,56.1905
17,0.357109,0.0386,0.00202471,0.00590206,0.00794582,480,0.24338,0.33164,,163.796,1.30149,56.1905
