PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.569895,0.0386,0.0854214,0.00558183,0.350164,480,0,0.392057,4.58968,1.60714,70.2381
1,0.157135,0.0386,0.0352636,0.00558183,0.144555,480,0,0.392057,11.1179,1.60714,70.2381
2,0.286512,0.0386,0.00509475,0.00558183,0.0208847,480,0,0.392057,76.953,1.60714,70.2381
3,0.308358,0.0386,0.0382226,0.00558183,0.156684,480,0,0.392057,10.2572,1.60714,70.2381
4,0.322278,0.0386,0.0125023,0.00558183,0.0512503,480,0,0.392057,31.3587,1.60714,70.2381
5,0.365036,0.0386,0.00588474,0.00558183,0.0241231,480,0,0.392057,66.6226,1.60714,70.2381
6,0.304952,0.0386,0.0271069,0.00558183,0.111118,480,0,0.392057,14.4633,1.60714,70.2381
7,0.124164,0.0386,0.0447391,0.00558183,0.183397,480,0,0.392057,8.76319,1.60714,70.2381
8,0.307761,0.0386,0.0542118,0.00558183,0.222228,480,0,0.392057,7.23194,1.60714,70.2381
9,0.060135,0.0386,0.115484,0.00558183,0.4734,480,0,0.392057,3.39489,1.60714,70.2381
10,0.284323,0.0386,0.0287283,0.00558183,0.117765,480,0,0.392057,13.647,1.60714,70.2381
11,0.0973983,0.0386,0.0582953,0.00558183,0.238967,480,0,0.392057,6.72536,1.60714,70.2381
12,0.182253,0.0386,0.0174302,0.00558183,0.0714508,480,0,0.392057,22.493,1.60714,70.2381
13,0.214902,0.0386,0.0225092,0.00558183,0.0922709,480,0,0.392057,17.4177,1.60714,70.2381
14,0.182134,0.0386,0.00288688,0.00558183,0.0118341,480,0,0.392057,135.806,1.60714,70.2381
15,0.331661,0.0386,0.0275303,0.00558183,0.112854,480,0,0.392057,14.2409,1.60714,70.2381
16,0.16678,0.0386,0.312511,0.00558183,1.28106,480,0,0.392057,1.25454,1.60714,70.2381
17,0.428646,0.0386,0.0379499,0.00558183,0.155566,480,0,0.392057,10.3309,1.60714,70.2381
18,0.209136,0.0386,0.0353418,0.00558183,0.144875,480,0,0.392057,11.0933,1.60714,70.2381
19,0.232455,0.0386,0.107018,0.00558183,0.438696,480,0,0.392057,3.66346,1.60714,70.2381
20,0.384103,0.0386,0.0654186,0.00558183,0.268168,480,0,0.392057,5.99304,1.60714,70.2381
21,0.23377,0.0386,0.215318,0.00558183,0.882646,480,0,0.392057,1.82082,1.60714,70.2381
22,0.57246,0.0386,0.00898849,0.00558183,0.0368462,480,0,0.392057,43.6177,1.60714,70.2381
23,0.122342,0.0386,0.0351871,0.00558183,0.144241,480,0,0.392057,11.1421,1.60714,70.2381
24,0.385449,0.0386,0.0717552,0.00558183,0.294143,480,0,0.392057,5.46381,1.60714,70.2381
25,0.351811,0.0386,0.0128752,0.00558183,0.0527787,480,0,0.392057,30.4506,1.60714,70.2381
26,0.237432,0.0386,0.0411367,0.00558183,0.16863,480,0,0.392057,9.5306,1.60714,70.2381
27,0.241713,0.0386,0.00540369,0.00558183,0.0221511,480,0,0.392057,72.5535,1.60714,70.2381
28,0.318883,0.0386,0.0578758,0.00558183,0.237248,480,0,0.392057,6.7741,1.60714,70.2381
29,0.185679,0.0386,0.0112537,0.00558183,0.0461317,480,0,0.392057,34.8381,1.60714,70.2381
30,0.657575,0.0386,0.0517931,0.00558183,0.212314,480,0,0.392057,7.56966,1.60714,70.2381
31,0.514912,0.0386,0.0136823,0.00558183,0.0560872,480,0,0.392057,28.6544,1.60714,70.2381
32,0.0374597,0.0386,0.0929837,0.00558183,0.381164,480,0,0.392057,4.2164,1.60714,70.2381
33,0.425157,0.0386,0.0467733,0.00558183,0.191736,480,0,0.392057,8.38206,1.60714,70.2381
34,0.461372,0.0386,0.0289565,0.00558183,0.1187,480,0,0.392057,13.5395,1.60714,70.2381
35,0.239994,0.0386,0.442,0.00558183,1.81187,480,0,0.392057,0.887007,1.60714,70.2381
36,0.190617,0.0386,0.0224865,0.00558183,0.0921779,480,0,0.392057,17.4352,1.60714,70.2381
37,0.0782475,0.0386,0.0133296,0.00558183,0.0546416,480,0,0.392057,29.4124,1.60714,70.2381
38,0.3392,0.0386,0.0579653,0.00558183,0.237615,480,0,0.392057,6.76365,1.60714,70.2381
39,0.473715,0.0386,0.0781217,0.00558183,0.320241,480,0,0.392057,5.01854,1.60714,70.2381
40,0.325198,0.0386,0.00378148,0.00558183,0.0155013,480,0,0.392057,103.678,1.60714,70.2381
41,0.171942,0.0386,0.0123073,0.00558183,0.0504509,480,0,0.392057,31.8556,1.60714,70.2381
42,0.261066,0.0386,0.0302098,0.00558183,0.123838,480,0,0.392057,12.9778,1.60714,70.2381
43,0.145669,0.0386,0.0140999,0.00558183,0.057799,480,0,0.392057,27.8057,1.60714,70.2381
44,0.312315,0.0386,0.0137632,0.00558183,0.0564191,480,0,0.392057,28.4858,1.60714,70.2381
45,0.115701,0.0386,0.360849,0.00558183,1.47921,480,0,0.392057,1.08648,1.60714,70.2381
46,0.723603,0.0386,0.403599,0.00558183,1.65446,480,0,0.392057,0.971401,1.60714,70.2381
47,0.285937,0.0386,0.0160828,0.00558183,0.0659275,480,0,0.392057,24.3774,1.60714,70.2381
48,0.341674,0.0386,0.0141456,0.00558183,0.0579864,480,0,0.392057,27.7158,1.60714,70.2381
49,0.576454,0.0386,0.0287399,0.00558183,0.117813,480,0,0.392057,13.6415,1.60714,70.2381
50,0.135152,0.0386,0.175517,0.00558183,0.719489,480,0,0.392057,2.23373,1.60714,70.2381
51,0.0981193,0.0386,0.030107,0.00558183,0.123417,480,0,0.392057,13.0221,1.60714,70.2381
52,0.450802,0.0386,0.0867757,0.00558183,0.355716,480,0,0.392057,4.51805,1.60714,70.2381
53,0.400727,0.0386,0.0372215,0.00558183,0.152581,480,0,0.392057,10.5331,1.60714,70.2381
54,0.158663,0.0386,0.0504522,0.00558183,0.206817,480,0,0.392057,7.77085,1.60714,70.2381
55,0.562234,0.0386,0.0358055,0.00558183,0.146776,480,0,0.392057,10.9496,1.60714,70.2381
56,0.197098,0.0386,0.0110566,0.00558183,0.0453237,480,0,0.392057,35.4592,1.60714,70.2381
57,0.252469,0.0386,0.0152042,0.00558183,0.062326,480,0,0.392057,25.7861,1.60714,70.2381
58,0.43967,0.0386,0.0073839,0.00558183,0.0302685,480,0,0.392057,53.0961,1.60714,70.2381
59,0.210962,0.0386,0.00457184,0.00558183,0.0187412,480,0,0.392057,85.7546,1.60714,70.2381
60,0.636486,0.0386,0.473126,0.00558183,1.93947,480,0,0.392057,0.828652,1.60714,70.2381
61,0.10053,0.0386,0.0125767,0.00558183,0.051555,480,0,0.392057,31.1733,1.60714,70.2381
62,0.315191,0.0386,0.014698,0.00558183,0.060251,480,0,0.392057,26.6741,1.60714,70.2381
63,0.573951,0.0386,0.047403,0.00558183,0.194317,480,0,0.392057,8.27072,1.60714,70.2381
64,0.355923,0.0386,0.0410814,0.00558183,0.168403,480,0,0.392057,9.54342,1.60714,70.2381
65,0.7034,0.0386,0.00877352,0.00558183,0.035965,480,0,0.392057,44.6864,1.60714,70.2381
66,0.0737931,0.0386,0.0686758,0.00558183,0.28152,480,0,0.392057,5.7088,1.60714,70.2381
67,0.527591,0.0386,0.0902906,0.00558183,0.370125,480,0,0.392057,4.34217,1.60714,70.2381
68,0.198247,0.0386,0.0117934,0.00558183,0.0483443,480,0,0.392057,33.2437,1.60714,70.2381
69,0.162083,0.0386,0.0343546,0.00558183,0.140829,480,0,0.392057,11.4121,1.60714,70.2381
70,0.146004,0.0386,0.0150311,0.00558183,0.0616166,480,0,0.392057,26.083,1.60714,70.2381
