PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.13211,0.0386,0.0137052,0.00583051,0.053785,360,0,0.245714,17.9285,0.964286,42.1429
1,0.081046,0.0386,0.279271,0.00583051,1.09598,360,0,0.245714,0.879841,0.964286,42.1429
2,0.302177,0.0386,0.154553,0.00583051,0.60653,360,0,0.245714,1.58984,0.964286,42.1429
3,0.20486,0.0386,0.0420633,0.00583051,0.165074,360,0,0.245714,5.84154,0.964286,42.1429
4,0.222411,0.0386,0.0423616,0.00583051,0.166245,360,0,0.245714,5.80041,0.964286,42.1429
5,0.272244,0.0386,0.0854679,0.00583051,0.335412,360,0,0.245714,2.87493,0.964286,42.1429
6,0.438176,0.0386,0.0279073,0.00583051,0.10952,360,0,0.245714,8.80465,0.964286,42.1429
7,0.725415,0.0386,0.103721,0.00583051,0.407045,360,0,0.245714,2.36899,0.964286,42.1429
8,0.183788,0.0386,0.0272472,0.00583051,0.10693,360,0,0.245714,9.01796,0.964286,42.1429
9,0.121135,0.0386,0.0607205,0.00583051,0.238293,360,0,0.245714,4.04665,0.964286,42.1429
10,0.076039,0.0386,0.0656601,0.00583051,0.257678,360,0,0.245714,3.74221,0.964286,42.1429
11,0.299336,0.0386,0.012177,0.00583051,0.0477877,360,0,0.245714,20.1785,0.964286,42.1429
12,0.198914,0.0386,0.0588537,0.00583051,0.230966,360,0,0.245714,4.175,0.964286,42.1429
13,0.117289,0.0386,0.0704217,0.00583051,0.276364,360,0,0.245714,3.48918,0.964286,42.1429
14,0.442211,0.0386,0.0179074,0.00583051,0.070276,360,0,0.245714,13.7214,0.964286,42.1429
15,0.175443,0.0386,0.023158,0.00583051,0.0908817,360,0,0.245714,10.6103,0.964286,42.1429
16,0.439163,0.0386,0.139241,0.00583051,0.546438,360,0,0.245714,1.76467,0.964286,42.1429
17,0.291701,0.0386,0.0250833,0.00583051,0.0984375,360,0,0.245714,9.79591,0.964286,42.1429
18,0.313757,0.0386,0.0461636,0.00583051,0.181165,360,0,0.245714,5.32269,0.964286,42.1429
19,0.15182,0.0386,0.0212162,0.00583051,0.0832611,360,0,0.245714,11.5815,0.964286,42.1429
20,0.208608,0.0386,0.0875556,0.00583051,0.343605,360,0,0.245714,2.80638,0.964286,42.1429
21,0.125262,0.0386,0.0168779,0.00583051,0.0662361,360,0,0.245714,14.5583,0.964286,42.1429
22,0.303698,0.0386,0.00283822,0.00583051,0.0111384,360,0,0.245714,86.5733,0.964286,42.1429
23,0.268993,0.0386,0.0201015,0.00583051,0.0788868,360,0,0.245714,12.2237,0.964286,42.1429
24,0.548403,0.0386,0.00482526,0.00583051,0.0189364,360,0,0.245714,50.9225,0.964286,42.1429
25,0.0988703,0.0386,0.0508561,0.00583051,0.199581,360,0,0.245714,4.83156,0.964286,42.1429
26,0.413693,0.0386,0.0282415,0.00583051,0.110831,360,0,0.245714,8.70048,0.964286,42.1429
27,0.102203,0.0386,0.0217157,0.00583051,0.0852215,360,0,0.245714,11.3151,0.964286,42.1429
28,0.131751,0.0386,0.0372284,0.00583051,0.1461,360,0,0.245714,6.60019,0.964286,42.1429
29,0.321433,0.0386,0.0148353,0.00583051,0.0582198,360,0,0.245714,16.5628,0.964286,42.1429
30,0.416999,0.0386,0.0103266,0.00583051,0.0405261,360,0,0.245714,23.7942,0.964286,42.1429
31,0.405044,0.0386,0.0228441,0.00583051,0.0896499,360,0,0.245714,10.7561,0.964286,42.1429
32,0.276254,0.0386,0.0165075,0.00583051,0.0647824,360,0,0.245714,14.885,0.964286,42.1429
33,0.509837,0.0386,0.00720102,0.00583051,0.0282598,360,0,0.245714,34.1222,0.964286,42.1429
34,0.484001,0.0386,0.04759,0.00583051,0.186763,360,0,0.245714,5.16315,0.964286,42.1429
35,0.0720951,0.0386,0.0209909,0.00583051,0.082377,360,0,0.245714,11.7058,0.964286,42.1429
36,0.068608,0.0386,0.10045,0.00583051,0.39421,360,0,0.245714,2.44612,0.964286,42.1429
37,0.157308,0.0386,0.0130267,0.00583051,0.0511222,360,0,0.245714,18.8624,0.964286,42.1429
38,0.118319,0.0386,0.0177163,0.00583051,0.0695263,360,0,0.245714,13.8694,0.964286,42.1429
39,0.124765,0.0386,0.0740604,0.00583051,0.290644,360,0,0.245714,3.31775,0.964286,42.1429
40,0.0178086,0.0386,0.0225572,0.00583051,0.0885238,360,0,0.245714,10.893,0.964286,42.1429
41,0.448563,0.0386,0.078454,0.00583051,0.307886,360,0,0.245714,3.13195,0.964286,42.1429
42,0.260295,0.0386,0.0383534,0.00583051,0.150515,360,0,0.245714,6.40659,0.964286,42.1429
43,0.234684,0.0386,0.0315006,0.00583051,0.123622,360,0,0.245714,7.8003,0.964286,42.1429
44,0.303716,0.0386,0.0979851,0.00583051,0.384535,360,0,0.245714,2.50767,0.964286,42.1429
45,0.438948,0.0386,0.0201994,0.00583051,0.0792709,360,0,0.245714,12.1644,0.964286,42.1429
46,0.189144,0.0386,0.145099,0.00583051,0.56943,360,0,0.245714,1.69342,0.964286,42.1429
47,0.223253,0.0386,0.0178221,0.00583051,0.0699415,360,0,0.245714,13.787,0.964286,42.1429
48,0.166638,0.0386,0.0327223,0.00583051,0.128416,360,0,0.245714,7.50908,0.964286,42.1429
49,0.192367,0.0386,0.0468996,0.00583051,0.184054,360,0,0.245714,5.23916,0.964286,42.1429
50,0.190353,0.0386,0.0401019,0.00583051,0.157377,360,0,0.245714,6.12724,0.964286,42.1429
51,0.0920255,0.0386,0.0954983,0.00583051,0.374776,360,0,0.245714,2.57297,0.964286,42.1429
52,0.166746,0.0386,0.0912133,0.00583051,0.357959,360,0,0.245714,2.69384,0.964286,42.1429
53,0.0553267,0.0386,0.0240541,0.00583051,0.0943985,360,0,0.245714,10.2151,0.964286,42.1429
54,0.113161,0.0386,0.0316823,0.00583051,0.124334,360,0,0.245714,7.75558,0.964286,42.1429
55,0.108225,0.0386,0.082128,0.00583051,0.322305,360,0,0.245714,2.99184,0.964286,42.1429
56,0.110249,0.0386,0.165769,0.00583051,0.650546,360,0,0.245714,1.48227,0.964286,42.1429
57,0.30739,0.0386,0.0285282,0.00583051,0.111956,360,0,0.245714,8.61304,0.964286,42.1429
58,0.411874,0.0386,0.0642353,0.00583051,0.252086,360,0,0.245714,3.82522,0.964286,42.1429
59,0.178303,0.0386,0.048384,0.00583051,0.189879,360,0,0.245714,5.07842,0.964286,42.1429
60,0.2479,0.0386,0.0207957,0.00583051,0.0816111,360,0,0.245714,11.8156,0.964286,42.1429
61,0.25888,0.0386,0.0117776,0.00583051,0.0462203,360,0,0.245714,20.8628,0.964286,42.1429
62,0.246499,0.0386,0.00496379,0.00583051,0.01948,360,0,0.245714,49.5013,0.964286,42.1429
63,0.135613,0.0386,0.0459855,0.00583051,0.180466,360,0,0.245714,5.3433,0.964286,42.1429
64,0.328757,0.0386,0.00529116,0.00583051,0.0207647,360,0,0.245714,46.4386,0.964286,42.1429
65,0.508457,0.0386,0.013703,0.00583051,0.0537764,360,0,0.245714,17.9314,0.964286,42.1429
66,0.260891,0.0386,0.0492739,0.00583051,0.193372,360,0,0.245714,4.9867,0.964286,42.1429
67,0.454825,0.0386,0.144109,0.00583051,0.565545,360,0,0.245714,1.70506,0.964286,42.1429
68,0.168181,0.0386,0.0275672,0.00583051,0.108185,360,0,0.245714,8.91328,0.964286,42.1429
69,0.183831,0.0386,0.0723771,0.00583051,0.284038,360,0,0.245714,3.39492,0.964286,42.1429
70,0.557638,0.0386,0.139144,0.00583051,0.54606,360,0,0.245714,1.7659,0.964286,42.1429
71,0.154576,0.0386,0.014406,0.00583051,0.0565352,360,0,0.245714,17.0564,0.964286,42.1429
72,0.38212,0.0386,0.161152,0.00583051,0.632429,360,0,0.245714,1.52473,0.964286,42.1429
73,0.736049,0.0386,0.058519,0.00583051,0.229653,360,0,0.245714,4.19888,0.964286,42.1429
74,0.276534,0.0386,0.0186368,0.00583051,0.0731387,360,0,0.245714,13.1843,0.964286,42.1429
75,0.247595,0.0386,0.125874,0.00583051,0.493981,360,0,0.245714,1.95207,0.964286,42.1429
76,0.20171,0.0386,0.15965,0.00583051,0.626532,360,0,0.245714,1.53908,0.964286,42.1429
77,0.220142,0.0386,0.0563258,0.00583051,0.221046,360,0,0.245714,4.36238,0.964286,42.1429
78,0.161999,0.0386,0.055844,0.00583051,0.219155,360,0,0.245714,4.40001,0.964286,42.1429
79,0.163581,0.0386,0.016861,0.00583051,0.0661695,360,0,0.245714,14.573,0.964286,42.1429
80,0.10179,0.0386,0.0453701,0.00583051,0.178051,360,0,0.245714,5.41577,0.964286,42.1429
81,0.114835,0.0386,0.101452,0.00583051,0.39814,360,0,0.245714,2.42197,0.964286,42.1429
82,0.285964,0.0386,0.0297606,0.00583051,0.116793,360,0,0.245714,8.25636,0.964286,42.1429
83,0.17269,0.0386,0.0377438,0.00583051,0.148122,360,0,0.245714,6.51006,0.964286,42.1429
84,0.180559,0.0386,0.0241169,0.00583051,0.0946447,360,0,0.245714,10.1885,0.964286,42.1429
85,0.22318,0.0386,0.223403,0.00583051,0.876727,360,0,0.245714,1.09987,0.964286,42.1429
86,0.29719,0.0386,0.018501,0.00583051,0.0726056,360,0,0.245714,13.2811,0.964286,42.1429
87,0.202149,0.0386,0.0468283,0.00583051,0.183774,360,0,0.245714,5.24713,0.964286,42.1429
88,0.0366202,0.0386,0.0149474,0.00583051,0.0586598,360,0,0.245714,16.4386,0.964286,42.1429
89,0.632227,0.0386,0.0262778,0.00583051,0.103125,360,0,0.245714,9.35065,0.964286,42.1429
90,0.219864,0.0386,0.0126907,0.00583051,0.0498038,360,0,0.245714,19.3617,0.964286,42.1429
91,0.185139,0.0386,0.0217797,0.00583051,0.0854728,360,0,0.245714,11.2818,0.964286,42.1429
92,0.302084,0.0386,0.0126297,0.00583051,0.0495642,360,0,0.245714,19.4553,0.964286,42.1429
93,0.179343,0.0386,0.00672102,0.00583051,0.0263761,360,0,0.245714,36.5591,0.964286,42.1429
94,0.398653,0.0386,0.0545136,0.00583051,0.213934,360,0,0.245714,4.5074,0.964286,42.1429
95,0.109054,0.0386,0.0151605,0.00583051,0.0594961,360,0,0.245714,16.2075,0.964286,42.1429
96,0.154897,0.0386,0.0145994,0.00583051,0.0572943,360,0,0.245714,16.8304,0.964286,42.1429
97,0.194102,0.0386,0.011727,0.00583051,0.0460217,360,0,0.245714,20.9528,0.964286,42.1429
98,0.372065,0.0386,0.0399966,0.00583051,0.156964,360,0,0.245714,6.14337,0.964286,42.1429
99,0.286161,0.0386,0.0138246,0.00583051,0.0542536,360,0,0.245714,17.7737,0.964286,42.1429
100,0.206636,0.0386,0.0907052,0.00583051,0.355965,360,0,0.245714,2.70893,0.964286,42.1429
101,0.140373,0.0386,0.0343613,0.00583051,0.134848,360,0,0.245714,7.1509,0.964286,42.1429
102,0.211179,0.0386,0.0237691,0.00583051,0.0932799,360,0,0.245714,10.3375,0.964286,42.1429
103,0.210267,0.0386,0.127197,0.00583051,0.499173,360,0,0.245714,1.93177,0.964286,42.1429
104,0.229633,0.0386,0.0248505,0.00583051,0.0975239,360,0,0.245714,9.88769,0.964286,42.1429
105,0.22661,0.0386,0.074865,0.00583051,0.293802,360,0,0.245714,3.2821,0.964286,42.1429
106,0.461276,0.0386,0.0140451,0.00583051,0.0551189,360,0,0.245714,17.4946,0.964286,42.1429
107,0.181222,0.0386,0.202086,0.00583051,0.793069,360,0,0.245714,1.21589,0.964286,42.1429
108,0.130326,0.0386,0.00512355,0.00583051,0.020107,360,0,0.245714,47.9578,0.964286,42.1429
109,0.398904,0.0386,0.00974443,0.00583051,0.0382412,360,0,0.245714,25.2159,0.964286,42.1429
110,0.221027,0.0386,0.0130635,0.00583051,0.0512667,360,0,0.245714,18.8092,0.964286,42.1429
111,0.23684,0.0386,0.0444283,0.00583051,0.174355,360,0,0.245714,5.53058,0.964286,42.1429
112,0.104527,0.0386,0.0120069,0.00583051,0.0471203,360,0,0.245714,20.4643,0.964286,42.1429
