PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.171931,0.0386,0.0249195,0.00634218,0.0977945,360,0.24338,0.267278,10.7256,1.04891,42.1429
1,0.261712,0.0386,0.00591522,0.00634218,0.0232138,360,0.24338,0.267278,45.1847,1.04891,42.1429
2,0.319685,0.0386,0.0472793,0.00634218,0.185544,360,0.24338,0.267278,5.65316,1.04891,42.1429
3,0.070866,0.0386,0.0484521,0.00634218,0.190146,360,0.24338,0.267278,5.51632,1.04891,42.1429
4,0.137049,0.0386,0.029373,0.00634218,0.115272,360,0.24338,0.267278,9.09944,1.04891,42.1429
5,0.146352,0.0386,0.00518264,0.00634218,0.0203388,360,0.24338,0.267278,51.5717,1.04891,42.1429
6,0.360516,0.0386,0.0255135,0.00634218,0.100126,360,0.24338,0.267278,10.4759,1.04891,42.1429
7,0.135325,0.0386,0.173601,0.00634218,0.681284,360,0.24338,0.267278,1.5396,1.04891,42.1429
8,0.213061,0.0386,0.294681,0.00634218,1.15645,360,0.24338,0.267278,0.907006,1.04891,42.1429
9,0.206316,0.0386,0.0160265,0.00634218,0.0628948,360,0.24338,0.267278,16.6772,1.04891,42.1429
10,0.266992,0.0386,0.0293522,0.00634218,0.11519,360,0.24338,0.267278,9.10589,1.04891,42.1429
11,0.294571,0.0386,0.0341258,0.00634218,0.133924,360,0.24338,0.267278,7.83212,1.04891,42.1429
12,0.179665,0.0386,0.109304,0.00634218,0.428955,360,0.24338,0.267278,2.44526,1.04891,42.1429
13,0.0901873,0.0386,0.178684,0.00634218,0.701232,360,0.24338,0.267278,1.49581,1.04891,42.1429
14,0.224177,0.0386,0.0196718,0.00634218,0.0772004,360,0.24338,0.267278,13.5868,1.04891,42.1429
15,0.182953,0.0386,0.0168855,0.00634218,0.0662658,360,0.24338,0.267278,15.8288,1.04891,42.1429
16,0.197805,0.0386,0.0166549,0.00634218,0.0653609,360,0.24338,0.267278,16.048,1.04891,42.1429
17,0.335264,0.0386,0.0144296,0.00634218,0.0566277,360,0.24338,0.267278,18.5229,1.04891,42.1429
18,0.0823144,0.0386,0.0174582,0.00634218,0.0685131,360,0.24338,0.267278,15.3096,1.04891,42.1429
19,0.622649,0.0386,0.0223841,0.00634218,0.0878447,360,0.24338,0.267278,11.9405,1.04891,42.1429
20,0.244317,0.0386,0.0158051,0.00634218,0.0620259,360,0.24338,0.267278,16.9108,1.04891,42.1429
21,0.466386,0.0386,0.0302243,0.00634218,0.118613,360,0.24338,0.267278,8.84314,1.04891,42.1429
22,0.0840037,0.0386,0.0288658,0.00634218,0.113281,360,0.24338,0.267278,9.25932,1.04891,42.1429
23,0.07963,0.0386,0.022266,0.00634218,0.0873811,360,0.24338,0.267278,12.0038,1.04891,42.1429
24,0.489131,0.0386,0.0122456,0.00634218,0.0480567,360,0.24338,0.267278,21.8265,1.04891,42.1429
25,0.111692,0.0386,0.137726,0.00634218,0.540493,360,0.24338,0.267278,1.94065,1.04891,42.1429
26,0.313279,0.0386,0.0328606,0.00634218,0.128959,360,0.24338,0.267278,8.13367,1.04891,42.1429
27,0.192419,0.0386,0.482283,0.00634218,1.89268,360,0.24338,0.267278,0.554192,1.04891,42.1429
28,0.325835,0.0386,0.232921,0.00634218,0.914079,360,0.24338,0.267278,1.1475,1.04891,42.1429
29,0.176864,0.0386,0.221608,0.00634218,0.869682,360,0.24338,0.267278,1.20608,1.04891,42.1429
30,0.292305,0.0386,0.104775,0.00634218,0.41118,360,0.24338,0.267278,2.55097,1.04891,42.1429
31,0.064709,0.0386,0.0193304,0.00634218,0.0758605,360,0.24338,0.267278,13.8268,1.04891,42.1429
32,0.532939,0.0386,0.0162136,0.00634218,0.0636289,360,0.24338,0.267278,16.4848,1.04891,42.1429
33,0.181057,0.0386,0.0367516,0.00634218,0.144229,360,0.24338,0.267278,7.27254,1.04891,42.1429
34,0.271396,0.0386,0.0448847,0.00634218,0.176147,360,0.24338,0.267278,5.95475,1.04891,42.1429
35,0.138815,0.0386,0.0103964,0.00634218,0.0408,360,0.24338,0.267278,25.7085,1.04891,42.1429
36,0.0786091,0.0386,0.224144,0.00634218,0.879633,360,0.24338,0.267278,1.19244,1.04891,42.1429
37,0.0929461,0.0386,0.0383439,0.00634218,0.150478,360,0.24338,0.267278,6.97053,1.04891,42.1429
38,0.236196,0.0386,0.0246915,0.00634218,0.0968997,360,0.24338,0.267278,10.8247,1.04891,42.1429
39,0.209584,0.0386,0.0320349,0.00634218,0.125719,360,0.24338,0.267278,8.34331,1.04891,42.1429
40,0.270738,0.0386,0.0447257,0.00634218,0.175522,360,0.24338,0.267278,5.97592,1.04891,42.1429
41,0.182687,0.0386,0.00363385,0.00634218,0.0142607,360,0.24338,0.267278,73.5522,1.04891,42.1429
42,0.789153,0.0386,0.00371142,0.00634218,0.0145652,360,0.24338,0.267278,72.0149,1.04891,42.1429
43,0.174752,0.0386,0.00921305,0.00634218,0.0361559,360,0.24338,0.267278,29.0108,1.04891,42.1429
44,0.401946,0.0386,0.0777111,0.00634218,0.304971,360,0.24338,0.267278,3.43937,1.04891,42.1429
45,0.337613,0.0386,0.0525069,0.00634218,0.206059,360,0.24338,0.267278,5.09033,1.04891,42.1429
46,0.266378,0.0386,0.110616,0.00634218,0.434103,360,0.24338,0.267278,2.41627,1.04891,42.1429
47,0.238156,0.0386,0.0114869,0.00634218,0.0450795,360,0.24338,0.267278,23.268,1.04891,42.1429
48,0.134773,0.0386,0.0119514,0.00634218,0.0469023,360,0.24338,0.267278,22.3637,1.04891,42.1429
49,0.171748,0.0386,0.052163,0.00634218,0.204709,360,0.24338,0.267278,5.12389,1.04891,42.1429
50,0.226754,0.0386,0.0266424,0.00634218,0.104556,360,0.24338,0.267278,10.032,1.04891,42.1429
51,0.276449,0.0386,0.041697,0.00634218,0.163636,360,0.24338,0.267278,6.41,1.04891,42.1429
52,0.328843,0.0386,0.0577442,0.00634218,0.226612,360,0.24338,0.267278,4.62865,1.04891,42.1429
