PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.313808,0.0386,0.0190669,0.00583051,0.0748263,360,0,0.245714,12.887,0.964286,42.1429
1,1.05757,0.0386,0.0143107,0.00583051,0.0561612,360,0,0.245714,17.17,0.964286,42.1429
2,2.14313,0.0386,0.0374589,0.00583051,0.147004,360,0,0.245714,6.55958,0.964286,42.1429
3,0.57916,0.0386,0.0604078,0.00583051,0.237065,360,0,0.245714,4.06759,0.964286,42.1429
4,3.24576,0.0386,0.145895,0.00583051,0.572553,360,0,0.245714,1.68419,0.964286,42.1429
5,0.780084,0.0386,0.01224,0.00583051,0.048035,360,0,0.245714,20.0746,0.964286,42.1429
6,0.440658,0.0386,0.0133904,0.00583051,0.0525496,360,0,0.245714,18.35,0.964286,42.1429
7,0.446099,0.0386,0.0231345,0.00583051,0.0907895,360,0,0.245714,10.6211,0.964286,42.1429
8,0.95293,0.0386,0.0454421,0.00583051,0.178334,360,0,0.245714,5.4072,0.964286,42.1429
9,0.750267,0.0386,0.0144686,0.00583051,0.0567806,360,0,0.245714,16.9826,0.964286,42.1429
10,1.97493,0.0386,0.015002,0.00583051,0.058874,360,0,0.245714,16.3788,0.964286,42.1429
11,1.56817,0.0386,0.0025658,0.00583051,0.0100693,360,0,0.245714,95.765,0.964286,42.1429
12,1.21616,0.0386,0.113574,0.00583051,0.445711,360,0,0.245714,2.16348,0.964286,42.1429
13,0.823987,0.0386,0.0678479,0.00583051,0.266264,360,0,0.245714,3.62155,0.964286,42.1429
14,1.08018,0.0386,0.0328258,0.00583051,0.128822,360,0,0.245714,7.48541,0.964286,42.1429
15,1.79071,0.0386,0.00476625,0.00583051,0.0187048,360,0,0.245714,51.5529,0.964286,42.1429
16,1.38282,0.0386,0.0412225,0.00583051,0.161774,360,0,0.245714,5.96069,0.964286,42.1429
17,1.50205,0.0386,0.0281466,0.00583051,0.110459,360,0,0.245714,8.72979,0.964286,42.1429
18,1.0595,0.0386,0.0163222,0.00583051,0.0640553,360,0,0.245714,15.054,0.964286,42.1429
19,0.578908,0.0386,0.0103979,0.00583051,0.0408055,360,0,0.245714,23.6312,0.964286,42.1429
20,0.905028,0.0386,0.146527,0.00583051,0.575034,360,0,0.245714,1.67692,0.964286,42.1429
21,1.27094,0.0386,0.0117451,0.00583051,0.0460925,360,0,0.245714,20.9207,0.964286,42.1429
22,0.523218,0.0386,0.00957077,0.00583051,0.0375597,360,0,0.245714,25.6734,0.964286,42.1429
23,0.534858,0.0386,0.0147846,0.00583051,0.058021,360,0,0.245714,16.6196,0.964286,42.1429
24,0.57435,0.0386,0.0418855,0.00583051,0.164376,360,0,0.245714,5.86634,0.964286,42.1429
25,0.314644,0.0386,0.0119147,0.00583051,0.0467582,360,0,0.245714,20.6228,0.964286,42.1429
26,2.87842,0.0386,0.00608256,0.00583051,0.0238705,360,0,0.245714,40.3965,0.964286,42.1429
27,1.63102,0.0386,0.018463,0.00583051,0.0724566,360,0,0.245714,13.3085,0.964286,42.1429
28,2.09183,0.0386,0.0874014,0.00583051,0.343,360,0,0.245714,2.81133,0.964286,42.1429
29,1.11791,0.0386,0.00396214,0.00583051,0.0155491,360,0,0.245714,62.0156,0.964286,42.1429
30,0.409228,0.0386,0.466186,0.00583051,1.82951,360,0,0.245714,0.527074,0.964286,42.1429
31,1.06168,0.0386,0.112955,0.00583051,0.443282,360,0,0.245714,2.17533,0.964286,42.1429
32,0.439419,0.0386,0.0323356,0.00583051,0.126898,360,0,0.245714,7.59888,0.964286,42.1429
33,0.524087,0.0386,0.0225065,0.00583051,0.0883251,360,0,0.245714,10.9175,0.964286,42.1429
34,0.775351,0.0386,0.054753,0.00583051,0.214874,360,0,0.245714,4.48769,0.964286,42.1429
35,1.12252,0.0386,0.00115971,0.00583051,0.00455118,360,0,0.245714,211.876,0.964286,42.1429
36,1.22297,0.0386,0.0180697,0.00583051,0.0709132,360,0,0.245714,13.5981,0.964286,42.1429
37,0.435084,0.0386,0.00710042,0.00583051,0.027865,360,0,0.245714,34.6056,0.964286,42.1429
38,0.0761809,0.0386,0.0308089,0.00583051,0.120907,360,0,0.245714,7.97544,0.964286,42.1429
39,0.259899,0.0386,0.0204771,0.00583051,0.0803608,360,0,0.245714,11.9994,0.964286,42.1429
40,1.52894,0.0386,0.018899,0.00583051,0.0741674,360,0,0.245714,13.0015,0.964286,42.1429
41,2.51038,0.0386,0.00916275,0.00583051,0.0359585,360,0,0.245714,26.8167,0.964286,42.1429
42,0.658911,0.0386,0.0236265,0.00583051,0.0927204,360,0,0.245714,10.3999,0.964286,42.1429
43,0.38665,0.0386,0.0162107,0.00583051,0.0636176,360,0,0.245714,15.1575,0.964286,42.1429
44,1.57844,0.0386,0.0549324,0.00583051,0.215578,360,0,0.245714,4.47303,0.964286,42.1429
45,0.43104,0.0386,0.0174637,0.00583051,0.0685349,360,0,0.245714,14.07,0.964286,42.1429
46,0.767496,0.0386,0.119676,0.00583051,0.469658,360,0,0.245714,2.05317,0.964286,42.1429
47,0.488357,0.0386,0.148202,0.00583051,0.581605,360,0,0.245714,1.65797,0.964286,42.1429
48,0.590467,0.0386,0.0280252,0.00583051,0.109983,360,0,0.245714,8.76761,0.964286,42.1429
49,0.593009,0.0386,0.0388347,0.00583051,0.152404,360,0,0.245714,6.32718,0.964286,42.1429
50,1.62523,0.0386,0.123515,0.00583051,0.484723,360,0,0.245714,1.98935,0.964286,42.1429
51,1.56022,0.0386,0.00814304,0.00583051,0.0319567,360,0,0.245714,30.1747,0.964286,42.1429
52,0.224279,0.0386,0.0228207,0.00583051,0.0895581,360,0,0.245714,10.7672,0.964286,42.1429
53,0.347624,0.0386,0.0328522,0.00583051,0.128926,360,0,0.245714,7.47939,0.964286,42.1429
54,0.338189,0.0386,0.0208453,0.00583051,0.0818058,360,0,0.245714,11.7875,0.964286,42.1429
55,0.609941,0.0386,0.00842201,0.00583051,0.0330515,360,0,0.245714,29.1753,0.964286,42.1429
56,0.562556,0.0386,0.0327923,0.00583051,0.128691,360,0,0.245714,7.49304,0.964286,42.1429
57,1.14696,0.0386,0.00656682,0.00583051,0.0257709,360,0,0.245714,37.4176,0.964286,42.1429
58,1.041,0.0386,0.00863218,0.00583051,0.0338763,360,0,0.245714,28.4649,0.964286,42.1429
59,0.485865,0.0386,0.0174696,0.00583051,0.0685581,360,0,0.245714,14.0652,0.964286,42.1429
60,0.53951,0.0386,0.0572663,0.00583051,0.224737,360,0,0.245714,4.29073,0.964286,42.1429
61,0.0966251,0.0386,0.149489,0.00583051,0.586656,360,0,0.245714,1.6437,0.964286,42.1429
62,0.622387,0.0386,0.109785,0.00583051,0.430842,360,0,0.245714,2.23814,0.964286,42.1429
63,0.505929,0.0386,0.136522,0.00583051,0.535769,360,0,0.245714,1.79982,0.964286,42.1429
64,1.20039,0.0386,0.235031,0.00583051,0.922361,360,0,0.245714,1.04545,0.964286,42.1429
65,0.456026,0.0386,0.0737588,0.00583051,0.28946,360,0,0.245714,3.33132,0.964286,42.1429
66,1.1034,0.0386,0.00820928,0.00583051,0.0322167,360,0,0.245714,29.9313,0.964286,42.1429
67,0.906099,0.0386,0.0719431,0.00583051,0.282335,360,0,0.245714,3.4154,0.964286,42.1429
68,1.43664,0.0386,0.0404207,0.00583051,0.158628,360,0,0.245714,6.07892,0.964286,42.1429
69,1.8197,0.0386,0.0160693,0.00583051,0.0630627,360,0,0.245714,15.2909,0.964286,42.1429
70,1.17408,0.0386,0.0454354,0.00583051,0.178308,360,0,0.245714,5.40799,0.964286,42.1429
71,0.437696,0.0386,0.0619385,0.00583051,0.243073,360,0,0.245714,3.96707,0.964286,42.1429
72,0.97325,0.0386,0.146431,0.00583051,0.574658,360,0,0.245714,1.67802,0.964286,42.1429
73,1.8636,0.0386,0.0294927,0.00583051,0.115742,360,0,0.245714,8.33137,0.964286,42.1429
74,1.29099,0.0386,0.0334982,0.00583051,0.131461,360,0,0.245714,7.33515,0.964286,42.1429
75,1.35467,0.0386,0.12248,0.00583051,0.480664,360,0,0.245714,2.00615,0.964286,42.1429
76,1.24263,0.0386,0.0238927,0.00583051,0.0937649,360,0,0.245714,10.2841,0.964286,42.1429
77,2.67084,0.0386,0.0501808,0.00583051,0.196931,360,0,0.245714,4.89657,0.964286,42.1429
78,1.69367,0.0386,0.18542,0.00583051,0.727667,360,0,0.245714,1.32518,0.964286,42.1429
79,0.942415,0.0386,0.0109499,0.00583051,0.0429719,360,0,0.245714,22.4399,0.964286,42.1429
80,0.397946,0.0386,0.010797,0.00583051,0.0423721,360,0,0.245714,22.7576,0.964286,42.1429
81,2.12099,0.0386,0.0840913,0.00583051,0.33001,360,0,0.245714,2.92199,0.964286,42.1429
82,0.793281,0.0386,0.0334777,0.00583051,0.13138,360,0,0.245714,7.33965,0.964286,42.1429
83,1.67154,0.0386,0.0238472,0.00583051,0.0935862,360,0,0.245714,10.3037,0.964286,42.1429
84,0.268931,0.0386,0.0403666,0.00583051,0.158415,360,0,0.245714,6.08707,0.964286,42.1429
85,1.89545,0.0386,0.0854163,0.00583051,0.335209,360,0,0.245714,2.87667,0.964286,42.1429
86,2.08604,0.0386,0.0171838,0.00583051,0.0674363,360,0,0.245714,14.2992,0.964286,42.1429
87,1.53349,0.0386,0.0266327,0.00583051,0.104518,360,0,0.245714,9.22603,0.964286,42.1429
88,0.355966,0.0386,0.0153281,0.00583051,0.0601539,360,0,0.245714,16.0303,0.964286,42.1429
89,0.862217,0.0386,0.0671922,0.00583051,0.26369,360,0,0.245714,3.65689,0.964286,42.1429
90,0.683139,0.0386,0.0060325,0.00583051,0.0236741,360,0,0.245714,40.7317,0.964286,42.1429
91,0.929157,0.0386,0.0697431,0.00583051,0.273701,360,0,0.245714,3.52314,0.964286,42.1429
92,0.33717,0.0386,0.0295775,0.00583051,0.116075,360,0,0.245714,8.30747,0.964286,42.1429
93,0.863515,0.0386,0.04163,0.00583051,0.163373,360,0,0.245714,5.90234,0.964286,42.1429
94,0.746161,0.0386,0.031369,0.00583051,0.123105,360,0,0.245714,7.83302,0.964286,42.1429
95,1.88131,0.0386,0.0126987,0.00583051,0.0498349,360,0,0.245714,19.3496,0.964286,42.1429
96,1.08841,0.0386,0.0376544,0.00583051,0.147772,360,0,0.245714,6.52551,0.964286,42.1429
97,1.62263,0.0386,0.038701,0.00583051,0.151879,360,0,0.245714,6.34904,0.964286,42.1429
98,1.64832,0.0386,0.0293449,0.00583051,0.115162,360,0,0.245714,8.37333,0.964286,42.1429
99,0.761254,0.0386,0.0370438,0.00583051,0.145375,360,0,0.245714,6.63308,0.964286,42.1429
100,1.06999,0.0386,0.0110065,0.00583051,0.0431942,360,0,0.245714,22.3244,0.964286,42.1429
101,0.522773,0.0386,0.007407,0.00583051,0.0290682,360,0,0.245714,33.1733,0.964286,42.1429
102,1.8032,0.0386,0.00524815,0.00583051,0.0205959,360,0,0.245714,46.8192,0.964286,42.1429
103,0.364559,0.0386,0.050223,0.00583051,0.197096,360,0,0.245714,4.89246,0.964286,42.1429
104,1.31691,0.0386,0.0282116,0.00583051,0.110714,360,0,0.245714,8.7097,0.964286,42.1429
105,1.66394,0.0386,0.0646132,0.00583051,0.253569,360,0,0.245714,3.80285,0.964286,42.1429
106,0.78407,0.0386,0.0396995,0.00583051,0.155797,360,0,0.245714,6.18935,0.964286,42.1429
107,1.43879,0.0386,0.00918836,0.00583051,0.036059,360,0,0.245714,26.7419,0.964286,42.1429
108,1.18659,0.0386,0.0205398,0.00583051,0.0806068,360,0,0.245714,11.9628,0.964286,42.1429
109,1.23155,0.0386,0.0184471,0.00583051,0.072394,360,0,0.245714,13.32,0.964286,42.1429
110,0.492418,0.0386,0.00924617,0.00583051,0.0362859,360,0,0.245714,26.5747,0.964286,42.1429
111,1.15059,0.0386,0.0343283,0.00583051,0.134719,360,0,0.245714,7.15777,0.964286,42.1429
