PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
0,0.739102,0.0386,0.00350319,0.00583051,0.013748,480,0,0.327619,93.5202,1.28571,56.1905
1,2.21482,0.0386,0.00577073,0.00583051,0.0226468,480,0,0.327619,56.7725,1.28571,56.1905
2,1.95851,0.0386,0.0145545,0.00583051,0.057118,480,0,0.327619,22.5098,1.28571,56.1905
3,2.41999,0.0386,0.0125031,0.00583051,0.0490673,480,0,0.327619,26.2031,1.28571,56.1905
4,1.5604,0.0386,0.00448894,0.00583051,0.0176165,480,0,0.327619,72.9836,1.28571,56.1905
5,0.968097,0.0386,0.0144254,0.00583051,0.0566112,480,0,0.327619,22.7113,1.28571,56.1905
6,0.263346,0.0386,0.0615354,0.00583051,0.241491,480,0,0.327619,5.32408,1.28571,56.1905
7,0.491502,0.0386,0.0364439,0.00583051,0.143021,480,0,0.327619,8.98969,1.28571,56.1905
8,2.42625,0.0386,0.0459402,0.00583051,0.180289,480,0,0.327619,7.13142,1.28571,56.1905
9,1.92743,0.0386,0.0363779,0.00583051,0.142762,480,0,0.327619,9.00599,1.28571,56.1905
10,1.38681,0.0386,0.050338,0.00583051,0.197548,480,0,0.327619,6.50838,1.28571,56.1905
11,1.12742,0.0386,0.00977444,0.00583051,0.038359,480,0,0.327619,33.5179,1.28571,56.1905
12,0.719904,0.0386,0.0715317,0.00583051,0.28072,480,0,0.327619,4.58005,1.28571,56.1905
13,0.694908,0.0386,0.104918,0.00583051,0.411742,480,0,0.327619,3.12262,1.28571,56.1905
14,1.10262,0.0386,0.0500997,0.00583051,0.196612,480,0,0.327619,6.53934,1.28571,56.1905
15,0.94476,0.0386,0.0774057,0.00583051,0.303772,480,0,0.327619,4.23249,1.28571,56.1905
16,0.348438,0.0386,0.093549,0.00583051,0.367125,480,0,0.327619,3.50211,1.28571,56.1905
17,0.973815,0.0386,0.0357649,0.00583051,0.140356,480,0,0.327619,9.16036,1.28571,56.1905
18,0.97619,0.0386,0.0376795,0.00583051,0.14787,480,0,0.327619,8.69489,1.28571,56.1905
19,0.185509,0.0386,0.0327393,0.00583051,0.128483,480,0,0.327619,10.0069,1.28571,56.1905
20,2.04514,0.0386,0.0220683,0.00583051,0.0866053,480,0,0.327619,14.8457,1.28571,56.1905
21,0.897868,0.0386,0.047996,0.00583051,0.188357,480,0,0.327619,6.82596,1.28571,56.1905
22,2.6516,0.0386,0.106277,0.00583051,0.417075,480,0,0.327619,3.08269,1.28571,56.1905
23,0.93666,0.0386,0.0270527,0.00583051,0.106166,480,0,0.327619,12.1104,1.28571,56.1905
24,0.597936,0.0386,0.00672113,0.00583051,0.0263765,480,0,0.327619,48.7447,1.28571,56.1905
25,0.120773,0.0386,0.0270692,0.00583051,0.106231,480,0,0.327619,12.103,1.28571,56.1905
26,0.848421,0.0386,0.0411263,0.00583051,0.161397,480,0,0.327619,7.96616,1.28571,56.1905
27,0.991074,0.0386,0.0450242,0.00583051,0.176694,480,0,0.327619,7.27651,1.28571,56.1905
28,0.464719,0.0386,0.029572,0.00583051,0.116053,480,0,0.327619,11.0787,1.28571,56.1905
29,2.78911,0.0386,0.0380564,0.00583051,0.149349,480,0,0.327619,8.60877,1.28571,56.1905
30,1.18121,0.0386,0.0312771,0.00583051,0.122745,480,0,0.327619,10.4747,1.28571,56.1905
31,1.43475,0.0386,0.0261624,0.00583051,0.102672,480,0,0.327619,12.5225,1.28571,56.1905
32,0.303813,0.0386,0.0403559,0.00583051,0.158373,480,0,0.327619,8.11825,1.28571,56.1905
33,0.506415,0.0386,0.150858,0.00583051,0.592031,480,0,0.327619,2.1717,1.28571,56.1905
34,1.8861,0.0386,0.011354,0.00583051,0.0445578,480,0,0.327619,28.8549,1.28571,56.1905
35,1.38331,0.0386,0.02526,0.00583051,0.0991308,480,0,0.327619,12.9699,1.28571,56.1905
36,1.039,0.0386,0.209399,0.00583051,0.82177,480,0,0.327619,1.56457,1.28571,56.1905
37,1.2733,0.0386,0.0238362,0.00583051,0.0935432,480,0,0.327619,13.7446,1.28571,56.1905
38,1.49183,0.0386,0.0127159,0.00583051,0.0499026,480,0,0.327619,25.7645,1.28571,56.1905
39,0.687928,0.0386,0.0560797,0.00583051,0.22008,480,0,0.327619,5.84203,1.28571,56.1905
40,3.75862,0.0386,0.0295104,0.00583051,0.115811,480,0,0.327619,11.1018,1.28571,56.1905
41,0.789285,0.0386,0.0599793,0.00583051,0.235384,480,0,0.327619,5.4622,1.28571,56.1905
42,0.908784,0.0386,0.0408231,0.00583051,0.160207,480,0,0.327619,8.02534,1.28571,56.1905
43,1.07429,0.0386,0.038495,0.00583051,0.151071,480,0,0.327619,8.51068,1.28571,56.1905
44,1.45284,0.0386,0.114468,0.00583051,0.449221,480,0,0.327619,2.8621,1.28571,56.1905
45,1.39868,0.0386,0.0196304,0.00583051,0.0770379,480,0,0.327619,16.6894,1.28571,56.1905
46,1.38864,0.0386,0.0818797,0.00583051,0.32133,480,0,0.327619,4.00123,1.28571,56.1905
47,1.37665,0.0386,0.0236287,0.00583051,0.0927289,480,0,0.327619,13.8653,1.28571,56.1905
48,1.17595,0.0386,0.00747059,0.00583051,0.0293177,480,0,0.327619,43.8545,1.28571,56.1905
49,0.188148,0.0386,0.0398077,0.00583051,0.156222,480,0,0.327619,8.23004,1.28571,56.1905
50,0.161937,0.0386,0.0442237,0.00583051,0.173552,480,0,0.327619,7.40822,1.28571,56.1905
51,1.91362,0.0386,0.0154484,0.00583051,0.0606262,480,0,0.327619,21.2073,1.28571,56.1905
52,2.25306,0.0386,0.00565403,0.00583051,0.0221888,480,0,0.327619,57.9443,1.28571,56.1905
53,3.18337,0.0386,0.0252046,0.00583051,0.0989134,480,0,0.327619,12.9984,1.28571,56.1905
54,0.536151,0.0386,0.0230274,0.00583051,0.0903691,480,0,0.327619,14.2274,1.28571,56.1905
55,0.377174,0.0386,0.0232751,0.00583051,0.0913414,480,0,0.327619,14.0759,1.28571,56.1905
56,0.578627,0.0386,0.0315816,0.00583051,0.123939,480,0,0.327619,10.3737,1.28571,56.1905
57,0.730143,0.0386,0.0258193,0.00583051,0.101326,480,0,0.327619,12.6889,1.28571,56.1905
58,1.01436,0.0386,0.0330555,0.00583051,0.129724,480,0,0.327619,9.91119,1.28571,56.1905
59,1.81637,0.0386,0.0276867,0.00583051,0.108654,480,0,0.327619,11.8331,1.28571,56.1905
60,1.61082,0.0386,0.0518239,0.00583051,0.203379,480,0,0.327619,6.32177,1.28571,56.1905
61,0.309996,0.0386,0.0179868,0.00583051,0.0705877,480,0,0.327619,18.2144,1.28571,56.1905
62,0.940489,0.0386,0.0149519,0.00583051,0.0586777,480,0,0.327619,21.9115,1.28571,56.1905
63,0.940336,0.0386,0.0358984,0.00583051,0.14088,480,0,0.327619,9.12629,1.28571,56.1905
64,1.04553,0.0386,0.0123533,0.00583051,0.0484793,480,0,0.327619,26.5209,1.28571,56.1905
65,2.3613,0.0386,0.0409872,0.00583051,0.160851,480,0,0.327619,7.99321,1.28571,56.1905
66,1.52021,0.0386,0.00875761,0.00583051,0.0343685,480,0,0.327619,37.4096,1.28571,56.1905
67,1.11762,0.0386,0.00391523,0.00583051,0.015365,480,0,0.327619,83.6781,1.28571,56.1905
68,0.755105,0.0386,0.0960223,0.00583051,0.376832,480,0,0.327619,3.41191,1.28571,56.1905
69,1.00606,0.0386,0.0772311,0.00583051,0.303087,480,0,0.327619,4.24206,1.28571,56.1905
70,0.765419,0.0386,0.0672229,0.00583051,0.263811,480,0,0.327619,4.87363,1.28571,56.1905
71,1.54437,0.0386,0.0424845,0.00583051,0.166727,480,0,0.327619,7.71149,1.28571,56.1905
72,0.603941,0.0386,0.0167451,0.00583051,0.0657149,480,0,0.327619,19.565,1.28571,56.1905
73,0.504206,0.0386,0.0162769,0.00583051,0.0638773,480,0,0.327619,20.1279,1.28571,56.1905
74,1.92192,0.0386,0.0580739,0.00583051,0.227906,480,0,0.327619,5.64142,1.28571,56.1905
