weight,efficacy
6,3.5900000000000034
7,3.8799999999999955
8,4.1499999999999915
9,4.409999999999997
10,4.75
11,5.0
12,5.1299999999999955
13,5.259999999999991
14,14.36
15,14.239999999999995
16,15.629999999999995
17,15.900000000000006
18,16.36
19,16.72
20,16.430000000000007
21,17.069999999999993
22,17.78
23,17.939999999999998
24,27.450000000000003
25,28.08
26,28.659999999999997
27,29.200000000000003
28,29.560000000000002
29,29.959999999999994
30,31.11
31,29.86
32,30.86
33,31.269999999999996
34,40.73
35,40.25
36,41.58
37,41.15
38,42.34
39,41.56999999999999
40,42.589999999999996
41,43.15
42,42.989999999999995
43,44.47
44,43.74
45,45.02
46,45.41
47,44.74
48,46.14
49,45.34
50,45.440000000000005
51,45.809999999999995
52,45.809999999999995
53,46.650000000000006
54,46.81999999999999
55,46.61
56,47.36
57,47.11
58,46.730000000000004
59,47.72
60,47.85
