weight,efficacy
6,32.09
7,33.81999999999999
8,35.84
9,36.86000000000001
10,37.44
11,39.2
12,40.54
13,42.24
14,68.38
15,69.33
16,70.41
17,70.42
18,71.71000000000001
19,72.72
20,73.87
21,74.85
22,75.05
23,77.15
24,86.33
25,86.74
26,87.2
27,88.17
28,88.48
29,88.48
30,89.96
31,89.5
32,90.62
33,90.4
34,94.68
35,94.92
36,95.02
37,95.01
38,95.42
39,95.62
40,95.61
41,96.0
42,96.1
43,96.46
44,96.5
45,96.47
46,96.78
47,97.03
48,96.87
49,97.36
50,97.22
51,97.36
52,97.52
53,97.63
54,97.7
55,97.86
56,98.27
57,98.16
58,98.08
59,98.29
60,98.34
